,ensembl
528,ENSG00000173726.9
529,ENSG00000173868.10
530,ENSG00000174080.9
531,ENSG00000174529.7
532,ENSG00000174567.7
533,ENSG00000175084.10
534,ENSG00000175155.7
535,ENSG00000175164.12
536,ENSG00000175175.5
537,ENSG00000175470.17
538,ENSG00000175606.9
539,ENSG00000175691.8
540,ENSG00000175866.14
541,ENSG00000176058.10
542,ENSG00000176386.7
543,ENSG00000176531.9
544,ENSG00000177990.10
545,ENSG00000178381.10
546,ENSG00000178607.14
547,ENSG00000178623.10
548,ENSG00000178878.11
549,ENSG00000178974.8
550,ENSG00000179399.12
551,ENSG00000179598.5
552,ENSG00000179603.16
553,ENSG00000179914.4
554,ENSG00000180155.17
555,ENSG00000180822.10
556,ENSG00000181016.8
557,ENSG00000181218.5
558,ENSG00000181409.10
559,ENSG00000181634.7
560,ENSG00000181788.3
561,ENSG00000181852.16
562,ENSG00000181856.13
563,ENSG00000182132.11
564,ENSG00000182195.7
565,ENSG00000182220.12
566,ENSG00000182362.12
567,ENSG00000182749.5
568,ENSG00000182752.9
569,ENSG00000183036.9
570,ENSG00000183111.10
571,ENSG00000183137.13
572,ENSG00000183208.11
573,ENSG00000183378.10
574,ENSG00000183444.10
575,ENSG00000183655.12
576,ENSG00000183837.9
577,ENSG00000184110.13
578,ENSG00000184178.14
579,ENSG00000184232.7
580,ENSG00000184428.11
581,ENSG00000184515.9
582,ENSG00000185015.6
583,ENSG00000185262.8
584,ENSG00000185437.12
585,ENSG00000185739.12
586,ENSG00000185774.13
587,ENSG00000185950.8
588,ENSG00000185973.9
589,ENSG00000186187.10
590,ENSG00000186230.6
591,ENSG00000186301.8
592,ENSG00000186310.9
593,ENSG00000186377.7
594,ENSG00000186642.14
595,ENSG00000186834.3
596,ENSG00000186867.9
597,ENSG00000186907.6
598,ENSG00000186940.6
599,ENSG00000187091.12
600,ENSG00000187446.10
601,ENSG00000187534.6
602,ENSG00000187624.8
603,ENSG00000187642.8
604,ENSG00000187824.7
605,ENSG00000188229.5
606,ENSG00000188372.13
607,ENSG00000188505.4
608,ENSG00000188785.10
609,ENSG00000188811.11
610,ENSG00000188868.12
611,ENSG00000189045.12
612,ENSG00000189221.8
613,ENSG00000189306.9
614,ENSG00000189320.7
615,ENSG00000189366.8
616,ENSG00000189376.10
617,ENSG00000196205.8
618,ENSG00000196329.9
619,ENSG00000196407.10
620,ENSG00000196418.11
621,ENSG00000196459.12
622,ENSG00000196581.9
623,ENSG00000196605.6
624,ENSG00000196812.4
625,ENSG00000196872.9
626,ENSG00000197021.7
627,ENSG00000197062.10
628,ENSG00000197063.9
629,ENSG00000197124.10
630,ENSG00000197165.9
631,ENSG00000197258.5
632,ENSG00000197380.9
633,ENSG00000198208.10
